area,cases
,4/29/20
Adabor,9
,10-01-01-001
Agargaon,12
,10-01-01-002
Armanitola,2
,10-01-02-003
Ashkona,1
,10-01-01-004
Azimpur,18
,10-01-02-005
Babu Bazar,11
,10-01-02-006
Badda,31
,10-01-01-007
Baily Road,4
,10-01-02-008
Banani,10
,10-01-01-009
Bangshal,52
,10-01-02-010
Banianagar,1
,10-01-02-011
Basabo,32
,10-01-02-012
Bashundhora,13
,10-01-01-013
Begunbari,1
,10-01-01-014
Begum Bazar,1
,10-01-02-015
Beribadh,1
,10-01-01-016
Bokshi Bazar,5
,10-01-02-017
Bosila,1
,10-01-01-018
Buet Area,1
,10-01-02-019
Central Road,2
,10-01-02-020
Chankharpool,29
,10-01-02-021
Chawk Bazar,32
,10-01-02-022
Dhakkeshori,1
,10-01-02-023
Dhanmondi,37
,10-01-01-024
Dholaikhal,2
,10-01-02-025
Doyaganj,3
,10-01-02-026
Eskaton,9
,10-01-01-027
Faridabagh,1
,10-01-02-028
Farmgate,5
,10-01-01-029
Gendaria,36
,10-01-02-030
Gopibag,18
,10-01-02-031
Green Road,12
,10-01-02-032
Gulistan,7
,10-01-02-033
Gulshan,25
,10-01-01-034
Hatir jhil,3
,10-01-01-035
Hatirpool,3
,10-01-02-036
Hazaribagh,35
,10-01-02-037
Islampur,2
,10-01-02-038
Jailgate,2
,10-01-02-039
Jatrabari,77
,10-01-02-040
Jigatala,6
,10-01-02-041
Jurain,24
,10-01-02-042
Kallyanpur,6
,10-01-01-043
Kamrangir Char,22
,10-01-02-044
Kazi para,8
,10-01-01-045
Kawran Bazar,6
,10-01-01-046
Kochukhet,1
,10-01-01-047
Khilgaon,29
,10-01-02-048
Kodomtoli,6
,10-01-01-049
Kotowali,11
,10-01-02-050
Kuril,2
,10-01-01-051
Lalbagh,76
,10-01-02-052
Laxmibazar,10
,10-01-02-053
Malibagh,37
,10-01-01-054
Manikdi,1
,10-01-01-055
Matuail,4
,10-01-02-056
Mirhajaribagh,3
,10-01-02-057
Mirpur-1,30
,10-01-01-058
Mirpur-6,6
,10-01-01-059
Mirpur-10,14
,10-01-01-060
Mirpur-11,30
,10-01-01-061
Mirpur-12,18
,10-01-01-062
Mirpur-13,3
,10-01-01-063
Mirpur-14,37
,10-01-01-064
Mitford,38
,10-01-02-065
Mogbazar,36
,10-01-01-066
Mohakhali,59
,10-01-01-067
Mohammadpur,65
,10-01-01-068
Motijeel,2
,10-01-02-069
Mugda,53
,10-01-02-070
Nawabpur,1
,10-01-02-071
Narinda,11
,10-01-02-072
Nakhalpara,9
,10-01-01-073
Nikunja,1
,10-01-01-074
Pirerbagh,3
,10-01-01-075
Purana Paltan,27
,10-01-02-076
Rajarbagh,130
,10-01-02-077
Rampura,21
,10-01-01-078
Ramna,9
,10-01-02-079
Rayerbagh,2
,10-01-02-080
Rayerbazar,4
,10-01-01-081
Sabujbagh,7
,10-01-02-082
Sayedabad,4
,10-01-02-083
Science Lab,1
,10-01-02-084
Shah Ali Bagh,2
,10-01-01-085
Shahbag,49
,10-01-02-086
Shakharibazar,28
,10-01-02-087
Shantibagh,5
,10-01-02-088
Shampur,1
,10-01-01-089
Shantinagar,15
,10-01-02-090
Shaymoli,17
,10-01-01-091
Shewrapara,7
,10-01-01-092
Shekher Tek,1
,10-01-01-093
Showari Ghat,3
,10-01-02-094
Siddheshwari,4
,10-01-02-095
Sonir akhra,8
,10-01-02-096
Sutrapur,17
,10-01-02-097
Tejgaon,45
,10-01-01-098
Tezturi Bazar,4
,10-01-01-099
Tolarbag,19
,10-01-01-100
Urdu Road,1
,10-01-02-101
Uttara,55
,10-01-01-102
Vatara,2
,10-01-01-103
Wari,39
,10-01-02-104
