Division,District/City,Total Death
Dhaka,Dhaka,88
Dhaka,Gazipur,
Dhaka,Kishoreganj,1
Dhaka,Madaripur,2
Dhaka,Manikganj,
Dhaka,Narayanganj,39
Dhaka,Munshigonj,4
Dhaka,Narshingdi,1
Dhaka,Rajbari,
Dhaka,Faridpur,
Dhaka,Tangail,2
Dhaka,Shariatpur,1
Dhaka,Gopalganj,
Chattogram,Chattogram,2
Chattogram,Cox’s bazar,
Chattogram,Cumilla,4
Chattogram,B. Baria,2
Chattogram,Laksmipur,1
Chattogram,Bandarban,
Chattogram,Noakhali,1
Chattogram,Feni,
Chattogram,Chandpur,
Sylhet,Moulovi Bazar,2
Sylhet,Sunamganj,
Sylhet,Hobiganj,
Sylhet,Sylhet,2
Rangpur,Rangpur,
Rangpur,Gaibandha,
Rangpur,Nilphamari,
Rangpur,Lalmonirhat,
Rangpur,Kurigram,
Rangpur,Dinajpur,
Rangpur,Panchagar,
Rangpur,Thakurgaon,
Khulna,Khulna,
Khulna,Jessore,
Khulna,Bagerhat,
Khulna,Narail,
Khulna,Magura,
Khulna,Meherpur,1
Khulna,Satkhira,
Khulna,Jhenaidah,
Khulna,Kushtia,
Khulna,Chuadanga,
Mymensingh,Mymensingh,2
Mymensingh,Jamalpur,3
Mymensingh,Netrokona,
Mymensingh,Sherpur,
Barishal,Barguna,1
Barishal,Bhola,
Barishal,Barishal,
Barishal,Potuakhali,1
Barishal,Pirojpur,
Barishal,Jhalokathi,
Rajshahi,Joypurhat,1
Rajshahi,Pabna,
Rajshahi,Chapainawabganj,
Rajshahi,Bogra,
Rajshahi,Natore,
Rajshahi,Naogaon,
Rajshahi,Sirajganj,
Rajshahi,Rajshahi,2
