Division,District,Alt_Name,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20
Dhaka,Dhaka,Dhaka,88,92,93,98,98,101,101,103,103,103,103,103,103,103
Dhaka,Gazipur,Gazipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,Kishoreganj,Kishoreganj,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dhaka,Madaripur,Madaripur,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dhaka,Manikganj,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,Narayanganj,Narayanganj,39,39,39,39,40,40,40,41,41,41,41,41,41,41
Dhaka,Munshigonj,Munshiganj,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Dhaka,Narshingdi,Narsingdi,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dhaka,Rajbari,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,Faridpur,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,Tangail,Tangail,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Dhaka,Shariatpur,Shariatpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dhaka,Gopalganj,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,Chattogram,Chittagong,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chittagong,Cox's bazar,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,Cumilla,Comilla,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Chittagong,B. Baria,Brahamanbaria,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chittagong,Laksmipur,Lakshmipur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chittagong,Bandarban,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,Rangamati,Rangamati,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Chittagong,Noakhali,Noakhali,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Chittagong,Feni,Feni,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,Chandpur,Chandpur,0,0,0,0,0,0,0,0,3,3,3,3,3,3
Chittagong,Khagrachari,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylhet,Moulovi Bazar,Maulvibazar,2,2,2,2,2,3,3,3,0,0,0,0,0,0
Sylhet,Sunamganj,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylhet,Hobiganj,Habiganj,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Sylhet,Sylhet,Sylhet,2,2,2,2,2,2,2,2,1,1,1,1,1,1
Rangpur,Rangpur,Rangpur,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Rangpur,Gaibandha,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangpur,Nilphamari,Nilphamari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangpur,Lalmonirhat,Lalmonirhat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangpur,Kurigram,Kurigram,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Rangpur,Dinajpur,Dinajpur,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Rangpur,Panchagar,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangpur,Thakurgaon,Thakurgaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Khulna,Khulna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Jessore,Jessore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Bagerhat,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Narail,Narail,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Magura,Magura,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Khulna,Meherpur,Meherpur,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Khulna,Jhenaidah,Jhenaidah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Kushtia,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,Chuadanga,Chuadanga,0,0,0,0,0,0,0,0,3,3,3,3,3,3
Khulna,Satkhira,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mymensingh,Mymensingh,Mymensingh,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Mymensingh,Jamalpur,Jamalpur,3,3,3,3,3,3,3,3,0,0,0,0,0,0
Mymensingh,Netrokona,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mymensingh,Sherpur,Sherpur,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Barisal,Barguna,Barguna,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Barisal,Bhola,Bhola,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,Barishal,Barisal,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Barisal,Potuakhali,Patuakhali,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Barisal,Pirojpur,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,Jhalokathi,Jhalokati,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Rajshahi,Joypurhat,Joypurhat,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajshahi,Pabna,Pabna,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Rajshahi,Chapainawabganj,Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajshahi,Bogra,Bogra,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajshahi,Rajshahi,Rajshahi,2,2,2,2,2,2,2,2,0,0,0,0,0,0
Rajshahi,Naogaon,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajshahi,Sirajganj,Sirajganj,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Rajshahi,Natore,Natore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
