Division,District,Alt_Name,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20
Dhaka,Dhaka,Dhaka,0,0,0,0,0,0
Dhaka,Gazipur,Gazipur,0,0,0,0,0,0
Dhaka,Kishoreganj,Kishoreganj,0,0,0,0,0,0
Dhaka,Madaripur,Madaripur,0,0,0,0,0,0
Dhaka,Manikganj,Manikganj,0,0,0,0,0,0
Dhaka,Narayanganj,Narayanganj,0,0,0,0,0,0
Dhaka,Munshigonj,Munshiganj,0,0,0,0,0,0
Dhaka,Narshingdi,Narsingdi,0,0,0,0,0,0
Dhaka,Rajbari,Rajbari,0,0,0,0,0,0
Dhaka,Faridpur,Faridpur,0,0,0,0,0,0
Dhaka,Tangail,Tangail,0,0,0,0,0,0
Dhaka,Shariatpur,Shariatpur,0,0,0,0,0,0
Dhaka,Gopalganj,Gopalganj,0,0,0,0,0,0
Chittagong,Chattogram,Chittagong,0,0,0,0,0,0
Chittagong,Cox's bazar,Cox's Bazar,0,0,0,0,0,0
Chittagong,Cumilla,Comilla,0,0,0,0,0,0
Chittagong,B. Baria,Brahamanbaria,0,0,0,0,0,0
Chittagong,Laksmipur,Lakshmipur,0,0,0,0,0,0
Chittagong,Bandarban,Bandarban,0,0,0,0,0,0
Chittagong,Noakhali,Noakhali,0,0,0,0,0,0
Chittagong,Feni,Feni,0,0,0,0,0,0
Chittagong,Chandpur,Chandpur,0,0,0,0,0,0
Chittagong,Khagrachari,Khagrachhari,0,0,0,0,0,0
Sylhet,Moulovi Bazar,Maulvibazar,0,0,0,0,0,0
Sylhet,Sunamganj,Sunamganj,0,0,0,0,0,0
Sylhet,Hobiganj,Habiganj,0,0,0,0,0,0
Sylhet,Sylhet,Sylhet,0,0,0,0,0,0
Rangpur,Rangpur,Rangpur,0,0,0,0,0,0
Rangpur,Gaibandha,Gaibandha,0,0,0,0,0,0
Rangpur,Nilphamari,Nilphamari,0,0,0,0,0,0
Rangpur,Lalmonirhat,Lalmonirhat,0,0,0,0,0,0
Rangpur,Kurigram,Kurigram,0,0,0,0,0,0
Rangpur,Dinajpur,Dinajpur,0,0,0,0,0,0
Rangpur,Panchagar,Panchagarh,0,0,0,0,0,0
Rangpur,Thakurgaon,Thakurgaon,0,0,0,0,0,0
Khulna,Khulna,Khulna,0,0,0,0,0,0
Khulna,Jessore,Jessore,0,0,0,0,0,0
Khulna,Bagerhat,Bagerhat,0,0,0,0,0,0
Khulna,Narail,Narail,0,0,0,0,0,0
Khulna,Magura,Magura,0,0,0,0,0,0
Khulna,Meherpur,Meherpur,0,0,0,0,0,0
Khulna,Jhenaidah,Jhenaidah,0,0,0,0,0,0
Khulna,Kushtia,Kushtia,0,0,0,0,0,0
Khulna,Chuadanga,Chuadanga,0,0,0,0,0,0
Khulna,Satkhira,Satkhira,0,0,0,0,0,0
Mymensingh,Mymensingh,Mymensingh,0,0,0,0,0,0
Mymensingh,Jamalpur,Jamalpur,0,0,0,0,0,0
Mymensingh,Netrokona,Netrakona,0,0,0,0,0,0
Mymensingh,Sherpur,Sherpur,0,0,0,0,0,0
Barisal,Barguna,Barguna,0,0,0,0,0,0
Barisal,Bhola,Bhola,0,0,0,0,0,0
Barisal,Barishal,Barisal,0,0,0,0,0,0
Barisal,Potuakhali,Patuakhali,0,0,0,0,0,0
Barisal,Pirojpur,Pirojpur,0,0,0,0,0,0
Barisal,Jhalokathi,Jhalokati,0,0,0,0,0,0
Rajshahi,Joypurhat,Joypurhat,0,0,0,0,0,0
Rajshahi,Pabna,Pabna,0,0,0,0,0,0
Rajshahi,Chapainawabganj,Nawabganj,0,0,0,0,0,0
Rajshahi,Bogra,Bogra,0,0,0,0,0,0
Rajshahi,Rajshahi,Rajshahi,0,0,0,0,0,0
Rajshahi,Naogaon,Naogaon,0,0,0,0,0,0
Rajshahi,Sirajganj,Sirajganj,0,0,0,0,0,0
Rajshahi,Natore,Natore,0,0,0,0,0,0
